area,latitude,longitude,year,outbreak
northern interior maine,47.262088,-68.57864907611548,1709,yes
northern interior maine,47.262088,-68.57864907611548,1762,yes
northern interior maine,47.262088,-68.57864907611548,1808,yes
northern interior maine,47.262088,-68.57864907611548,1914,yes
northern interior maine,47.262088,-68.57864907611548,1976,yes
maine,43.6610277,-70.2548596,1976,yes
eastern canada,44.648618,-63.5859487,1976,yes
quebec,45.5031824,-73.5698065,1914,yes
quebec,45.5031824,-73.5698065,1748,yes
maine,43.6610277,-70.2548596,1762,yes
quebec,45.5031824,-73.5698065,1753,yes
