area,latitude,longitude,year,outbreak
sioux lookout,50.11345465,-92.19624322619077,1867,yes
sioux lookout,50.11345465,-92.19624322619077,1868,yes
sioux lookout,50.11345465,-92.19624322619077,1869,yes
sioux lookout,50.11345465,-92.19624322619077,1870,yes
sioux lookout,50.11345465,-92.19624322619077,1871,yes
sioux lookout,50.11345465,-92.19624322619077,1872,yes
sioux lookout,50.11345465,-92.19624322619077,1873,yes
sioux lookout,50.11345465,-92.19624322619077,1874,yes
sioux lookout,50.11345465,-92.19624322619077,1875,yes
sioux lookout,50.11345465,-92.19624322619077,1876,yes
sioux lookout,50.11345465,-92.19624322619077,1877,yes
cedar lake,41.3647578,-87.4411473,1867,yes
cedar lake,41.3647578,-87.4411473,1868,yes
cedar lake,41.3647578,-87.4411473,1869,yes
cedar lake,41.3647578,-87.4411473,1870,yes
cedar lake,41.3647578,-87.4411473,1871,yes
