area,latitude,longitude,year,outbreak
québec,46.8137431,-71.2084061,1986,yes
québec,46.8137431,-71.2084061,1987,yes
québec,46.8137431,-71.2084061,1988,yes
québec,46.8137431,-71.2084061,1989,yes
québec,46.8137431,-71.2084061,1990,yes
québec,46.8137431,-71.2084061,1991,yes
québec,46.8137431,-71.2084061,1992,yes
québec,46.8137431,-71.2084061,1993,yes
québec,46.8137431,-71.2084061,1994,yes
québec,46.8137431,-71.2084061,1995,yes
québec,46.8137431,-71.2084061,1996,yes
québec,46.8137431,-71.2084061,1997,yes
québec,46.8137431,-71.2084061,1998,yes
québec,46.8137431,-71.2084061,1999,yes
québec,46.8137431,-71.2084061,2000,yes
québec,46.8137431,-71.2084061,2001,yes
québec,46.8137431,-71.2084061,2002,yes
québec,46.8137431,-71.2084061,2003,yes
québec,46.8137431,-71.2084061,2004,yes
québec,46.8137431,-71.2084061,2005,yes
québec,46.8137431,-71.2084061,2006,yes
québec,46.8137431,-71.2084061,2007,yes
québec,46.8137431,-71.2084061,2008,yes
québec,46.8137431,-71.2084061,2009,yes
québec,46.8137431,-71.2084061,2010,yes
québec,46.8137431,-71.2084061,2011,yes
québec,46.8137431,-71.2084061,2012,yes
québec,46.8137431,-71.2084061,2013,yes
québec,46.8137431,-71.2084061,2014,yes
quebec,46.8137431,-71.2084061,1939,yes
quebec,46.8137431,-71.2084061,1940,yes
quebec,46.8137431,-71.2084061,1941,yes
quebec,46.8137431,-71.2084061,1942,yes
quebec,46.8137431,-71.2084061,1943,yes
quebec,46.8137431,-71.2084061,1944,yes
quebec,46.8137431,-71.2084061,1945,yes
quebec,46.8137431,-71.2084061,1946,yes
quebec,46.8137431,-71.2084061,1947,yes
quebec,46.8137431,-71.2084061,1948,yes
quebec,46.8137431,-71.2084061,1949,yes
quebec,46.8137431,-71.2084061,1950,yes
quebec,46.8137431,-71.2084061,1951,yes
quebec,46.8137431,-71.2084061,1952,yes
quebec,46.8137431,-71.2084061,1953,yes
quebec,46.8137431,-71.2084061,1954,yes
quebec,46.8137431,-71.2084061,1955,yes
quebec,46.8137431,-71.2084061,1956,yes
