area,latitude,longitude,year,outbreak
lake nipigon,49.5998657,-87.9576817,1943,yes
lake nipigon,49.5998657,-87.9576817,1944,yes
lake nipigon,49.5998657,-87.9576817,1945,yes
lake nipigon,49.5998657,-87.9576817,1946,yes
lake nipigon,49.5998657,-87.9576817,1947,yes
lake nipigon,49.5998657,-87.9576817,1948,yes
chief and gull bays area,48.9425393,-88.2592117,1940,yes
chief and gull bays area,48.9425393,-88.2592117,1941,yes
chief and gull bays area,48.9425393,-88.2592117,1942,yes
chief and gull bays area,48.9425393,-88.2592117,1943,yes
chief and gull bays area,48.9425393,-88.2592117,1944,yes
