area,latitude,longitude,year,outbreak
quebec,45.5031824,-73.5698065,1905,yes
quebec,45.5031824,-73.5698065,1906,yes
quebec,45.5031824,-73.5698065,1907,yes
quebec,45.5031824,-73.5698065,1908,yes
quebec,45.5031824,-73.5698065,1909,yes
quebec,45.5031824,-73.5698065,1910,yes
quebec,45.5031824,-73.5698065,1911,yes
quebec,45.5031824,-73.5698065,1912,yes
quebec,45.5031824,-73.5698065,1913,yes
quebec,45.5031824,-73.5698065,1914,yes
quebec,45.5031824,-73.5698065,1915,yes
quebec,45.5031824,-73.5698065,1916,yes
quebec,45.5031824,-73.5698065,1917,yes
quebec,45.5031824,-73.5698065,1918,yes
quebec,45.5031824,-73.5698065,1919,yes
quebec,45.5031824,-73.5698065,1920,yes
quebec,45.5031824,-73.5698065,1921,yes
quebec,45.5031824,-73.5698065,1922,yes
quebec,45.5031824,-73.5698065,1923,yes
quebec,45.5031824,-73.5698065,1924,yes
quebec,45.5031824,-73.5698065,1925,yes
quebec,45.5031824,-73.5698065,1926,yes
quebec,45.5031824,-73.5698065,1927,yes
quebec,45.5031824,-73.5698065,1928,yes
quebec,45.5031824,-73.5698065,1929,yes
quebec,45.5031824,-73.5698065,1930,yes
quebec,45.5031824,-73.5698065,1935,yes
quebec,45.5031824,-73.5698065,1936,yes
quebec,45.5031824,-73.5698065,1937,yes
quebec,45.5031824,-73.5698065,1938,yes
quebec,45.5031824,-73.5698065,1939,yes
quebec,45.5031824,-73.5698065,1940,yes
quebec,45.5031824,-73.5698065,1941,yes
quebec,45.5031824,-73.5698065,1942,yes
quebec,45.5031824,-73.5698065,1943,yes
quebec,45.5031824,-73.5698065,1944,yes
quebec,45.5031824,-73.5698065,1945,yes
quebec,45.5031824,-73.5698065,1946,yes
quebec,45.5031824,-73.5698065,1947,yes
quebec,45.5031824,-73.5698065,1948,yes
quebec,45.5031824,-73.5698065,1949,yes
quebec,45.5031824,-73.5698065,1950,yes
quebec,45.5031824,-73.5698065,1951,yes
quebec,45.5031824,-73.5698065,1952,yes
quebec,45.5031824,-73.5698065,1953,yes
quebec,45.5031824,-73.5698065,1954,yes
quebec,45.5031824,-73.5698065,1955,yes
quebec,45.5031824,-73.5698065,1956,yes
quebec,45.5031824,-73.5698065,1957,yes
quebec,45.5031824,-73.5698065,1958,yes
quebec,45.5031824,-73.5698065,1959,yes
quebec,45.5031824,-73.5698065,1960,yes
quebec,45.5031824,-73.5698065,1961,yes
quebec,45.5031824,-73.5698065,1962,yes
quebec,45.5031824,-73.5698065,1963,yes
quebec,45.5031824,-73.5698065,1964,yes
quebec,45.5031824,-73.5698065,1965,yes
quebec,45.5031824,-73.5698065,1968,yes
quebec,45.5031824,-73.5698065,1969,yes
quebec,45.5031824,-73.5698065,1970,yes
quebec,45.5031824,-73.5698065,1971,yes
quebec,45.5031824,-73.5698065,1972,yes
quebec,45.5031824,-73.5698065,1973,yes
quebec,45.5031824,-73.5698065,1974,yes
quebec,45.5031824,-73.5698065,1975,yes
quebec,45.5031824,-73.5698065,1976,yes
quebec,45.5031824,-73.5698065,1977,yes
quebec,45.5031824,-73.5698065,1978,yes
quebec,45.5031824,-73.5698065,1979,yes
quebec,45.5031824,-73.5698065,1980,yes
quebec,45.5031824,-73.5698065,1981,yes
quebec,45.5031824,-73.5698065,1982,yes
quebec,45.5031824,-73.5698065,1983,yes
quebec,45.5031824,-73.5698065,1984,yes
quebec,45.5031824,-73.5698065,1985,yes
quebec,45.5031824,-73.5698065,1986,yes
quebec,45.5031824,-73.5698065,1987,yes
quebec,45.5031824,-73.5698065,1988,yes
