year,area,latitude,longitude,outbreak,file_name,study
1900,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1901,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1902,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1903,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1904,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1905,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1906,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1907,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1908,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1909,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1910,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1911,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1912,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1913,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1914,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1915,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1916,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1917,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1918,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
