year,area,latitude,longitude,outbreak,file_name,study
1934,eastern canada,44.648618,-63.5859487,0,Elliot 1960.pdf,5
1935,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1936,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1937,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1938,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1939,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1940,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1941,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1942,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1943,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1944,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1945,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1946,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1947,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1948,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1949,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1950,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1951,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1952,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1953,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1954,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1955,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1956,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1957,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1958,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
1959,eastern canada,44.648618,-63.5859487,1,Elliot 1960.pdf,5
