year,area,latitude,longitude,outbreak,file_name,study
1999,- alaska,61.2163129,-149.894852,0,PMC9110339.pdf,
2000,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2001,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2002,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2003,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2004,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2005,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2006,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2007,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2008,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2009,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2010,- alaska,61.2163129,-149.894852,2,PMC9110339.pdf,
2011,- alaska,61.2163129,-149.894852,0,PMC9110339.pdf,
1979,- british columbia,49.2608724,-123.113952,0,PMC9110339.pdf,
1980,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1981,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1982,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1983,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1984,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1985,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1986,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1987,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1988,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1989,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1990,- british columbia,49.2608724,-123.113952,1,PMC9110339.pdf,
1991,- british columbia,49.2608724,-123.113952,0,PMC9110339.pdf,
1969,- maine,43.6592687,-70.2572642,0,PMC9110339.pdf,
1970,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1971,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1972,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1973,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1974,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1975,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1976,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1977,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1978,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1979,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1980,- maine,43.6592687,-70.2572642,1,PMC9110339.pdf,
1981,- maine,43.6592687,-70.2572642,0,PMC9110339.pdf,
1974,- minnesota,44.9772995,-93.2654692,0,PMC9110339.pdf,
1975,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1976,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1977,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1978,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1979,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1980,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1981,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1982,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1983,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1984,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1985,- minnesota,44.9772995,-93.2654692,1,PMC9110339.pdf,
1986,- minnesota,44.9772995,-93.2654692,0,PMC9110339.pdf,
1984,- new brunswick,45.94845575,-66.6530224218406,0,PMC9110339.pdf,
1985,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1986,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1987,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1988,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1989,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1990,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1991,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1992,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1993,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1994,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1995,- new brunswick,45.94845575,-66.6530224218406,1,PMC9110339.pdf,
1996,- new brunswick,45.94845575,-66.6530224218406,0,PMC9110339.pdf,
1994,- nova scotia,44.648618,-63.5859487,0,PMC9110339.pdf,
1995,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
1996,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
1997,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
1998,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
1999,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2000,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2001,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2002,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2003,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2004,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2005,- nova scotia,44.648618,-63.5859487,2,PMC9110339.pdf,
2006,- nova scotia,44.648618,-63.5859487,0,PMC9110339.pdf,
2004,- ontario,43.6534817,-79.3839347,0,PMC9110339.pdf,
2005,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2006,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2007,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2008,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2009,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2010,- ontario,43.6534817,-79.3839347,1,PMC9110339.pdf,
2011,- ontario,43.6534817,-79.3839347,0,PMC9110339.pdf,
1989,- quebec,46.8137431,-71.2084061,0,PMC9110339.pdf,
1990,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1991,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1992,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1993,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1994,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1995,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1996,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1997,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1998,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
1999,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
2000,- quebec,46.8137431,-71.2084061,1,PMC9110339.pdf,
2001,- quebec,46.8137431,-71.2084061,0,PMC9110339.pdf,
1701,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1702,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1703,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1704,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1705,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1706,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1707,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1708,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1709,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1710,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1711,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1712,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1713,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1714,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1715,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1716,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1717,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1718,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1719,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1720,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1721,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1722,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1723,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1724,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1725,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1726,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1727,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1728,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1729,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1730,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1731,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1732,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1733,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1734,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1735,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1736,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1737,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1738,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1739,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1740,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1741,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1742,central british columbia,52.1292657,-122.1397259,0,PMC9110339.pdf,
1743,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1744,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1745,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1746,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1747,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1748,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1749,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1750,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1751,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1752,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1753,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1754,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
1755,central british columbia,52.1292657,-122.1397259,1,PMC9110339.pdf,
