area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
"st. john's, newfoundland, canada",47.5614705,-52.7126162,1975,1,dendrochronological samples from tree cores | aerial defoliation survey,Effects of spruce budworm on cone production by balsam fir.pdf,
"st. john's, newfoundland, canada",47.5614705,-52.7126162,1976,1,dendrochronological samples from tree cores | aerial defoliation survey,Effects of spruce budworm on cone production by balsam fir.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1910,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1911,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1912,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1913,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1914,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1915,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1916,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1917,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1918,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1919,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1920,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1950,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"eastern canada, ontario (aubinadong river area)",48.477473,-81.330414,1972,1,No identified sources,Fire potential in the spruce budworm-damaged forests of Ontario.pdf,
nearby quebec,48.1023356,-77.7875715,2016,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1951,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1952,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1953,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1954,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1955,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1956,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1957,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1958,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1959,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northern new brunswick, canada",47.364409,-68.328094,1960,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
northwestern new brunswick,47.364409,-68.328094,1965,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northwestern new brunswick, canada",47.364409,-68.328094,1950,1,aerial defoliation survey,Five decades of balsam fir stand development after spruce budworm-related mortality.pdf,
"northwestern new brunswick, canada",47.364409,-68.328094,1870,1,No identified sources,Foliar endophytes of spruce species found in the Acadian forest_ basis and potential for improving the tolerance of the forest to spruce budworm.pdf,
"ontario, canada",48.477473,-81.330414,1967,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1968,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1969,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1970,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1971,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1972,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1973,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1974,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1975,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1976,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1977,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1978,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1979,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1980,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1981,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1982,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
"ontario, canada",48.477473,-81.330414,1983,1,No identified sources,Forecasting the response of spruce budworm defoliation to climate change in Ontario.pdf,
