file_name,been_processed,relevance
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Blais 1954.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Blais 1981.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Bouchard et al. 2018 -1.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Elliot 1960.pdf,1,0
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Fraver et al. 2006 time series SBW Maine.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Hardy et al. 1986 atlas of outbreaks.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\chatgpt_cost_estimate\papers\Navarro et al. 2018 space time SBW.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\PDF-Parser\papers\Blais 1965 outbreaks in Quebec.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\PDF-Parser\papers\Krause 1997 tree rings & budworm outbreaks.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\PDF-Parser\papers\Morin & LaPrise 1990 outbreaks in Quebec.pdf,1,1
C:\Users\natal\OneDrive\Documents\GitHub\PDF-Parser\papers\Morin et al. 1993 outbreak data from Quebec.pdf,1,1
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Aleocharinae_rove_beetles_Coleoptera_Staphylinidae_of_the_ancient_Sitka_spruce_forest_on_Vancouver_I.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\An_individual-based_phenology_model_for_western_spruce_budworm_Lepidoptera_Tortricidae.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Attraction_of_Hylastes_opacus_Coleoptera_Scolytidae_to_nonanal.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\A_comparison_of_three_methods_to_estimate_species_richness_of_saproxylic_beetles_Coleoptera_in_logs_.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\A_history_of_biological_control_in_Canadian_forests_18822014.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\A_new_name_for_the_western_spruce_budworm_Lepidoptera_Tortricidae.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\A_Synthetic_Diet_for_the_Spruce_Budworm_Choristoneura_fumiferana_Clem_Lepidoptera_Tortricidae1.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Baited_pheromone_traps_track_changes_in_populations_of_western_blackheaded_budworm_Lepidoptera_Tortr.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Braconid_parasitoids_Hymenoptera_Braconidae_of_Nearctic_Choristoneura_species_Lepidoptera_Tortricida.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Calling_behavior_of_Tetropium_fuscum_Coleoptera_Cerambycidae_Spondylidinae.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Canadian_contributions_to_forest_insect_pathology_and_to_the_use_of_pathogens_in_forest_pest_managem.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Changing_paradigms_in_the_management_of_forest_insect_disturbances.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Chemical_control_in_forest_pest_management.pdf,1,1
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Comparative_activity_of_three_isolates_of_LdMNPV_against_two_strains_of_Lymantria_dispar.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Comparative_ecology_of_conifer-feeding_spruce_budworms_Lepidoptera_Tortricidae.pdf,1,0
E:\NIMBioS\SBW\SBW Literature\Canadian Entomologist\Comparison_of_reproductive_capacity_among_univoltine_semivoltine_and_re-emerged_parent_spruce_beetle.pdf,1,0
