area,Latitude,Longitude,Year,Outbreak,Source,File Name
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1968,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1969,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1970,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1971,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1972,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1973,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1974,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1975,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1976,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1977,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1978,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1979,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1980,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1981,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1982,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1983,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1984,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1985,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1986,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1987,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"cluster 1, cluster 2, cluster 3",56.7291997,-111.3885221,1988,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1905,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1906,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1907,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1908,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1909,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1910,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1911,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1912,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1913,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1914,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1915,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1916,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1917,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1918,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1919,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1920,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1921,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1922,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1923,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1924,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1925,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1926,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1927,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1928,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1929,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"eastern and southeastern quebec, particularly east of the st. lawrence river",48.450155,-68.529968,1930,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1905,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1906,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1907,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1908,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1909,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1910,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1911,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1912,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1913,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1914,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1915,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1916,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1917,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1918,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1919,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1920,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1921,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1922,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1923,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1924,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1925,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1926,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1927,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1928,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1929,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
northern section of the study area,56.7291997,-111.3885221,1930,1,dendrochronological samples from tree cores,Berguet et al. 2021 spatiotemp dyn 20th cent sbw.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1858,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1859,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1860,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1861,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1862,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1863,1,dendrochronological samples from tree cores,Blais 1954.pdf
"northwestern ontario, canada",54.0245941,-89.1618188,1864,1,dendrochronological samples from tree cores,Blais 1954.pdf
"ottawa river valley, quebec",45.4277659,-75.710976,1910,1,dendrochronological samples from tree cores,Blais 1981.pdf
"ottawa river valley, quebec",45.4277659,-75.710976,1940,1,dendrochronological samples from tree cores,Blais 1981.pdf
"ottawa river valley, quebec",45.4277659,-75.710976,1967,1,dendrochronological samples from tree cores,Blais 1981.pdf
"southern quebec, canada",45.5031824,-73.5698065,1564,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1565,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1566,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1567,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1568,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1569,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1570,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
"southern quebec, canada",45.5031824,-73.5698065,1571,2,dendrochronological samples from historical buildings | dendrochronological samples from tree cores,Boulanger et al. 2012 SBW outbreaks 400 yrs.pdf
