area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
new brunswick,47.032695,-65.494995,1952,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1963,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1967,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1974,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1975,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1976,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
new brunswick,47.032695,-65.494995,1977,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
northwestern miramichi watershed in new brunswick,47.032695,-65.494995,1954,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
northwestern miramichi watershed in new brunswick,47.032695,-65.494995,1955,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
northwestern miramichi watershed in new brunswick,47.032695,-65.494995,1956,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec,48.1023356,-77.7875715,1952,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec,48.1023356,-77.7875715,1976,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec and ontario,48.477473,-81.330414,1972,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec and ontario,48.477473,-81.330414,1973,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec and ontario,48.477473,-81.330414,1974,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
quebec and ontario,48.477473,-81.330414,1975,1,aerial defoliation survey,Chemical_control_in_forest_pest_management.pdf,
"new brunswick, canada",47.032695,-65.494995,1965,1,No identified sources,Economic_analysis_of_forest_insect_pests_in_Canada.pdf,
"new brunswick, canada",47.032695,-65.494995,1966,1,No identified sources,Economic_analysis_of_forest_insect_pests_in_Canada.pdf,
