area,Latitude,Longitude,Year,Outbreak,Source,File Name,Study
"st. john's, newfoundland, canada",47.5614705,-52.7126162,1975,1,dendrochronological samples from tree cores | aerial defoliation survey,Effects of spruce budworm on cone production by balsam fir.pdf,
"st. john's, newfoundland, canada",47.5614705,-52.7126162,1976,1,dendrochronological samples from tree cores | aerial defoliation survey,Effects of spruce budworm on cone production by balsam fir.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1910,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1911,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1912,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1913,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1914,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1915,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1916,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1917,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1918,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1919,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1920,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
"cape breton island, nova scotia, canada",46.137977,-60.194092,1950,1,aerial defoliation survey | survey from insect laboratory,Effects of spruce budworm outbreaks on the productivity and stability of balsam fir forests.pdf,
